,k/d,accuracy
1387,0.292,1.45
1388,0.252,0.95
1389,0.255,0.96
1390,0.206,0.76
1391,0.12,1
1392,0.254,0.79
1393,0.206,1.48
1394,0.247,0.91
1395,0.275,1.43
1396,0.323,0.88
1397,0.199,0.74
1398,0.22,0.67
1399,0.197,1.33
1400,0.214,0.82
1401,0.226,1
1402,0.215,1.43
1403,0.086,0.91
1404,0.252,1.26
1405,0.252,0.94
1406,0.205,0.83
1407,0.193,1
1408,0.201,0.82
1409,0.175,0.79
1410,0.324,0.96
1411,0.291,1.27
1412,0.241,1.12
1413,0.27,1
1414,0.251,1
1415,0.232,0.66
1416,0.264,1.24
1417,0.233,1.23
1418,0.214,1.03
1419,0.238,1.17
1420,0.179,0.78
1421,0.227,0.77
1422,0.178,0.79
1423,0.11,1.18
1424,0.205,1.13
1425,0.237,1.38
1426,0.216,1.04
1427,0.242,0.88
1428,0.195,1.18
1429,0.161,1.22
1430,0.203,0.56
1431,0.182,0.92
1432,0.247,0.97
1433,0.155,0.62
1434,0.23,0.72
1435,0.212,0.56
1436,0.217,1
1437,0.204,1.21
1438,0.186,1.17
1439,0.249,1.12
1440,0.272,2.44
1441,0.149,1
1442,0.183,0.67
1443,0.167,0.29
1444,0.138,0.5
1445,0.176,0.75
1446,0.217,3.67
1447,0.248,1
1448,0.228,2
1449,0.245,1.14
1450,0.248,0.67
1451,0.124,0.57
1452,0.152,0.44
1453,0.152,1
1454,0.132,0.71
1455,0.199,2
1456,0.207,2.75
1457,0.169,0.71
1458,0.207,1
1459,0.23,0.5
1460,0.183,0.43
1461,0.153,0.4
1462,0.228,2
1463,0.197,2.33
1464,0.142,1.83
1465,0.275,1.05
1466,0.192,1.64
1467,0.152,0.78
1468,0.188,1
1469,0.254,1.62
1470,0.169,0.68
1471,0.267,0.82
1472,0.234,0.81
1473,0.183,1.17
1474,0.198,0.71
1475,0.195,1.31
1476,0.172,0.17
1477,0.268,1.67
1478,0.247,1
1479,0.218,0.8
1480,0.2,2
1481,0.158,0.62
1482,0.106,0.83
1483,0.215,0.88
1484,0.301,0.57
1485,0.204,3
1486,0.174,0.67
1487,0.17,1.5
1488,0.258,1
1489,0.238,2
1490,0.154,0.67
1491,0.217,1.6
1492,0.237,1.67
1493,0.347,0.57
1494,0.225,1.14
1495,0.16,0.57
1496,0.128,0.29
1497,0.243,1.26
1498,0.221,0.55
1499,0.19,0.71
1500,0.199,0.77
1501,0.252,1.21
1502,0.233,1.08
1503,0.263,1.43
1504,0.23,1.19
1505,0.222,1.23
1506,0.273,1.29
1507,0.217,0.78
1508,0.241,1.3
1509,0.259,0.87
1510,0.218,0.79
1511,0.208,0.74
1512,0.203,1.08
1513,0.206,0.91
1514,0.176,0.92
1515,0.228,0.82
1516,0.226,1.17
1517,0.215,1.11
1518,0.255,0.94
1519,0.221,1.35
1520,0.217,0.89
1521,0.217,1.16
1522,0.241,1.36
1523,0.245,1.35
1524,0.249,0.88
1525,0.242,0.76
1526,0.238,0.77
1527,0.201,1.08
1528,0.207,0.81
1529,0.225,0.96
1530,0.223,0.96
1531,0.184,0.71
1532,0.26,1.2
1533,0.253,1.32
1534,0.211,1.04
1535,0.104,0.79
1536,0.217,1
1537,0.19,0.48
1538,0.204,0.61
1539,0.198,0.68
1540,0.242,0.9
1541,0.239,1.25
1542,0.297,2.36
1543,0.225,0.95
1544,0.245,2
1545,0.237,1
1546,0.239,1
1547,0.216,1.43
1548,0.189,0.75
1549,0.217,0.78
1550,0.234,2.67
1551,0.11,0.71
1552,0.139,0.3
1553,0.236,1
1554,0.147,0.38
1555,0.227,1.67
1556,0.246,0.5
1557,0.235,1
1558,0.203,1.4
1559,0.184,1
1560,0.209,1.5
1561,0.189,0.93
1562,0.204,0.63
1563,0.21,0.71
1564,0.264,1.14
1565,0.233,1.33
1566,0.232,0.96
1567,0.119,1.22
1568,0.234,1.27
1569,0.198,0.5
1570,0.208,0.62
1571,0.221,0.67
1572,0.241,0.71
1573,0.283,1.79
1574,0.247,1.83
1575,0.193,0.88
1576,0.253,2.17
1577,0.187,0.54
1578,0.2,0.9
1579,0.2,0.88
1580,0.179,0.5
1581,0.194,2.17
1582,0.174,1.29
1583,0.285,1.44
1584,0.184,1.15
1585,0.255,1.1
1586,0.171,1
1587,0.138,0.8
1588,0.218,1.44
1589,0.224,0.78
1590,0.2,0.74
1591,0.324,1
1592,0.283,1.24
1593,0.098,0.67
1594,0.256,2
1595,0.274,4.33
1596,0.232,1.4
1597,0.211,1.17
1598,0.262,0.5
1599,0.175,0.12
1600,0.213,0.38
1601,0.164,0.71
1602,0.142,0.71
1603,0.258,0.88
1604,0.201,0.62
1605,0.228,1.33
1606,0.148,1
1607,0.264,1.6
1608,0.261,1.17
1609,0.196,0.63
1610,0.243,1.35
1611,0.254,1
1612,0.242,1
1613,0.223,0.64
1614,0.246,1.16
1615,0.259,1.52
1616,0.23,0.82
1617,0.262,0.96
1618,0.212,1.08
1619,0.218,0.7
1620,0.222,0.63
1621,0.218,1.17
1622,0.251,1.18
1623,0.247,1.22
1624,0.281,1.17
1625,0.187,0.82
1626,0.295,1.13
1627,0.267,1.29
1628,0.226,0.73
1629,0.293,1.3
1630,0.191,0.87
1631,0.237,1.22
1632,0.188,0.74
1633,0.216,0.63
1634,0.207,0.88
1635,0.224,0.93
1636,0.195,0.85
1637,0.207,1.12
1638,0.208,1
1639,0.251,1.33
1640,0.268,1.4
1641,0.179,0.83
1642,0.199,1.11
1643,0.222,1.08
1644,0.185,0.74
1645,0.228,1.92
1646,0.218,1
1647,0.169,0.83
1648,0.248,0.91
1649,0.221,0.96
1650,0.212,1.14
1651,0.224,0.55
1652,0.171,1
1653,0.249,1.3
1654,0.214,1.1
1655,0.235,1.32
1656,0.203,0.83
1657,0.154,1.17
1658,0.128,0.17
1659,0.212,0.17
1660,0.283,0.71
1661,0.209,1.67
1662,0.148,1
1663,0.254,2
1664,0.259,1.8
1665,0.182,0.57
1666,0.244,1.29
1667,0.175,0.75
1668,0.15,4.33
1669,0.207,0.44
1670,0.233,0.62
1671,0.186,0.71
1672,0.241,1.38
1673,0.218,0.92
1674,0.205,0.61
1675,0.245,0.85
1676,0.216,1
1677,0.241,1.37
1678,0.276,1.43
1679,0.213,1.29
1680,0.285,0.81
1681,0.271,1.14
1682,0.238,1.39
1683,0.251,0.88
1684,0.234,1
1685,0.21,0.65
1686,0.235,0.74
1687,0.237,1.09
1688,0.205,1.12
1689,0.187,0.73
1690,0.154,0.42
1691,0.256,0.93
1692,0.193,0.68
1693,0.243,1.88
1694,0.244,1.33
1695,0.194,1.47
1696,0.234,1.24
1697,0.255,1.48
1698,0.216,0.76
1699,0.215,1.42
1700,0.196,0.96
1701,0.285,0.85
1702,0.243,1.08
1703,0.199,0.72
1704,0.195,0.86
1705,0.22,1.67
1706,0.195,1.14
1707,0.256,1.16
1708,0.201,0.96
1709,0.173,0.45
1710,0.149,1.22
1711,0.17,0.88
1712,0.25,0.86
1713,0.295,1
1714,0.264,0.8
1715,0.16,3
1716,0.284,3.67
1717,0.263,0.67
1718,0.131,0.8
1719,0.09,0.17
1720,0.28,0.8
1721,0.242,1.23
1722,0.193,1
1723,0.228,1.04
1724,0.206,1.4
1725,0.244,0.78
1726,0.243,0.63
1727,0.204,1
1728,0.185,1.18
1729,0.231,0.85
1730,0.222,1.31
1731,0.222,0.96
1732,0.249,1.2
1733,0.225,1.03
1734,0.152,1
1735,0.2,0.7
1736,0.26,1
1737,0.168,2.17
1738,0.123,1.25
1739,0.124,0.67
1740,0.156,0.5
1741,0.27,0.75
1742,0.168,1.11
1743,0.212,1.14
1744,0.169,0.78
1745,0.171,0.52
1746,0.254,0.65
1747,0.194,0.53
1748,0.199,0.89
1749,0.263,1.47
1750,0.222,1
1751,0.254,1.54
1752,0.206,2.44
1753,0.209,1.05
1754,0.218,0.91
1755,0.202,1.28
1756,0.229,0.85
1757,0.282,0.85
1758,0.274,1.17
1759,0.2,0.83
1760,0.213,1.08
1761,0.196,1.15
1762,0.18,1.14
1763,0.237,1.73
1764,0.201,1.46
1765,0.24,0.95
1766,0.227,0.61
1767,0.23,0.55
1768,0.168,0.71
1769,0.138,0.57
1770,0.219,0.62
1771,0.288,1
1772,0.16,1
1773,0.198,1.5
1774,0.31,2.6
1775,0.189,0.62
1776,0.145,0.67
1777,0.184,1.1
1778,0.217,0.59
1779,0.223,1.07
1780,0.238,1.08
1781,0.287,1
1782,0.252,1.17
1783,0.292,1.36
1784,0.244,0.7
1785,0.19,0.83
1786,0.232,1.53
1787,0.237,0.76
1788,0.22,0.81
1789,0.222,1.63
1790,0.144,0.73
1791,0.192,0.95
1792,0.22,1
1793,0.127,1
1794,0.129,0.5
1795,0.227,1.71
1796,0.188,0.33
1797,0.211,1.8
1798,0.19,1.17
1799,0.2,0.83
1800,0.339,0.57
1801,0.227,1.13
1802,0.291,1.17
1803,0.267,1.17
1804,0.242,0.93
1805,0.236,1.04
1806,0.208,1.08
1807,0.23,0.73
1808,0.25,0.83
1809,0.231,0.82
1810,0.207,1.1
1811,0.249,0.8
1812,0.195,0.96
1813,0.209,0.91
1814,0.203,0.81
1815,0.227,1.19
1816,0.253,1.59
1817,0.164,0.83
1818,0.154,0.71
1819,0.286,0.67
1820,0.16,0.43
1821,0.212,2
1822,0.227,0.6
1823,0.12,2
1824,0.074,1.67
1825,0.247,1
1826,0.2,0.91
1827,0.201,0.64
1828,0.226,1.12
1829,0.266,1.2
1830,0.202,1.25
1831,0.246,1.09
1832,0.238,0.84
1833,0.213,0.8
1834,0.216,1.12
1835,0.254,0.78
1836,0.228,1.15
1837,0.208,1.21
1838,0.22,0.88
1839,0.24,0.79
1840,0.251,1.36
1841,0.175,0.8
1842,0.168,2.25
1843,0.208,1.33
1844,0.177,1.57
1845,0.154,0.56
1846,0.168,0.33
1847,0.18,0.67
1848,0.273,1.25
1849,0.284,1.18
1850,0.243,0.96
1851,0.2,0.68
1852,0.212,0.88
1853,0.248,0.83
1854,0.224,1.04
1855,0.252,1.55
1856,0.237,0.96
1857,0.235,1.14
1858,0.251,2
1859,0.185,0.67
1860,0.292,1.25
1861,0.234,0.7
1862,0.209,1.05
1863,0.101,0.86
1864,0.196,0.9
1865,0.225,1.5
1866,0.243,1.75
1867,0.216,1.08
1868,0.208,2.25
1869,0.24,0.47
1870,0.203,0.94
1871,0.14,0.5
1872,0.255,0.61
1873,0.227,0.86
1874,0.227,1.4
1875,0.142,0.38
1876,0.196,0.67
1877,0.262,1
1878,0.199,1.4
1879,0.13,1.33
1880,0.191,1.6
1881,0.213,1.24
1882,0.239,1
1883,0.199,1.1
1884,0.233,0.89
1885,0.218,0.7
1886,0.2,0.71
1887,0.227,1.24
1888,0.24,1.19
1889,0.239,1.17
1890,0.262,1
1891,0.171,0.78
1892,0.253,0.65
1893,0.236,1.39
1894,0.249,1.1
1895,0.111,1.11
1896,0.223,0.87
1897,0.243,0.87
1898,0.206,1.15
1899,0.2,1
1900,0.275,1.32
1901,0.222,1.18
1902,0.202,0.84
1903,0.068,1.11
1904,0.167,0.61
1905,0.23,2
1906,0.12,0.83
1907,0.172,1
1908,0.242,1
1909,0.17,0.86
1910,0.2,1
1911,0.189,1.14
1912,0.149,0.44
1913,0.238,1.28
1914,0.241,1.53
1915,0.265,1.09
1916,0.253,1.5
1917,0.175,0.73
1918,0.216,0.69
1919,0.211,0.65
1920,0.269,0.92
1921,0.168,1
1922,0.203,1.4
1923,0.223,1.29
1924,0.25,1.14
1925,0.229,0.33
1926,0.229,0.88
1927,0.099,1.43
1928,0.206,0.83
1929,0.221,1.04
1930,0.195,0.81
1931,0.169,0.69
1932,0.227,0.71
1933,0.249,1.61
1934,0.183,0.82
1935,0.215,1.08
1936,0.226,1.65
1937,0.204,3
1938,0.164,5
1939,0.156,9
1940,0.187,0.6
1941,0.131,0.5
1942,0.129,0.33
1943,0.128,0.5
1944,0.126,0
1945,0.236,0.96
1946,0.187,0.57
1947,0.223,0.89
1948,0.208,1.09
1949,0.243,0.95
1950,0.203,1.5
1951,0.27,1.29
1952,0.212,0.88
1953,0.16,0.5
1954,0.325,1.62
1955,0.211,1.33
1956,0.138,0.6
1957,0.234,0.83
1958,0.155,0.86
1959,0.224,0.75
1960,0.188,1.33
1961,0.253,1.71
1962,0.229,1.05
1963,0.25,1.2
1964,0.254,1.15
1965,0.24,0.69
1966,0.266,0.75
1967,0.234,0.83
1968,0.284,0.93
1969,0.298,1.79
1970,0.164,1.36
1971,0.177,0.81
1972,0.161,1.07
1973,0.208,0.83
1974,0.183,0.81
1975,0.198,0.89
1976,0.212,0.79
1977,0.24,1.38
1978,0.233,0.96
1979,0.224,0.57
1980,0.24,0.89
1981,0.242,0.52
1982,0.22,1.33
1983,0.264,0.91
1984,0.284,1.58
1985,0.191,1.36
1986,0.174,0.83
1987,0.185,0.91
1988,0.207,0.73
1989,0.237,1.05
1990,0.225,1.24
1991,0.207,1.05
1992,0.195,0.88
1993,0.259,1.21
1994,0.256,1.18
1995,0.246,1.25
1996,0.183,0.96
1997,0.175,0.76
1998,0.206,0.88
1999,0.204,0.8
2000,0.246,1
2001,0.181,0.38
2002,0.24,1.38
2003,0.179,0.67
2004,0.147,0.8
2005,0.197,0.4
2006,0.299,0.71
2007,0.235,2.4
2008,0.188,1.4
2009,0.243,1.32
2010,0.237,1.4
2011,0.269,1.32
2012,0.2,0.64
2013,0.217,1.08
2014,0.218,0.69
2015,0.226,0.67
2016,0.205,0.96
2017,0.218,0.96
2018,0.172,0.96
2019,0.212,1.08
2020,0.179,0.72
2021,0.241,1.12
2022,0.177,0.81
2023,0.084,1.3
2024,0.203,1.05
2025,0.255,1.33
2026,0.212,1.77
2027,0.202,1.14
2028,0.195,1.42
2029,0.15,0.57
2030,0.22,0.81
2031,0.205,1
2032,0.216,0.52
2033,0.201,1.83
2034,0.165,0.86
2035,0.165,1.29
2036,0.264,0.71
2037,0.181,0.62
2038,0.232,1
2039,0.1,1.57
2040,0.158,0.38
2041,0.221,0.78
2042,0.214,0.89
2043,0.189,0.81
2044,0.241,1.11
2045,0.264,0.96
2046,0.181,0.75
2047,0.08,0.92
2048,0.234,1.86
2049,0.191,1.78
2050,0.194,2.88
2051,0.28,1
2052,0.229,1.21
2053,0.194,0.25
2054,0.189,1.07
2055,0.184,0.6
2056,0.215,0.76
2057,0.195,1.67
2058,0.167,0.93
2059,0.244,0.96
2060,0.228,1.53
2061,0.245,0.76
2062,0.237,0.74
2063,0.077,1.17
2064,0.189,0.65
2065,0.29,0
2066,0.296,0.83
2067,0.195,1.17
2068,0.18,0.5
2069,0.203,1
2070,0.221,2.33
2071,0.205,1.2
2072,0.25,2.67
2073,0.24,0.71
2074,0.237,0.95
2075,0.263,0.88
2076,0.204,0.75
2077,0.235,1.4
2078,0.193,1.28
2079,0.195,1.42
2080,0.228,0.81
2081,0.25,1.14
2082,0.152,0.5
2083,0.216,0.56
2084,0.255,2
2085,0.178,0.6
2086,0.262,2
2087,0.121,1.33
2088,0.151,0.57
2089,0.211,1.12
2090,0.218,0.89
2091,0.234,0.83
2092,0.206,0.87
2093,0.205,0.5
2094,0.157,1.38
2095,0.222,1.24
2096,0.216,1.47
2097,0.263,2.4
2098,0.178,1
2099,0.252,1.53
2100,0.213,1.15
2101,0.204,0.62
2102,0.175,0.61
2103,0.211,0.83
2104,0.237,0.61
2105,0.256,0.5
2106,0.217,1.25
2107,0.318,0.86
2108,0.106,0.88
2109,0.184,0.83
2110,0.185,0.62
2111,0.197,1.86
2112,0.308,1.33
2113,0.227,0.94
2114,0.266,0.75
2115,0.205,1.27
2116,0.197,1.77
2117,0.217,0.9
2118,0.243,0.95
2119,0.109,1
2120,0.207,0.74
2121,0.204,0.6
2122,0.193,1
2123,0.23,2
2124,0.155,0.44
2125,0.201,1
2126,0.213,0.88
2127,0.09,2
2128,0.171,0.88
2129,0.245,0.67
2130,0.253,0.7
2131,0.26,0.96
2132,0.244,1.23
2133,0.205,1.15
2134,0.237,0.75
2135,0.234,1.67
2136,0.237,1.05
2137,0.238,1.29
2138,0.257,1.56
2139,0.214,0.95
2140,0.209,1.8
2141,0.2,0.54
2142,0.262,0.76
2143,0.093,0.91
2144,0.223,0.79
2145,0.209,0.6
2146,0.228,0.85
2147,0.22,0.57
2148,0.191,1.17
2149,0.144,1.85
2150,0.23,1.15
2151,0.203,1.45
2152,0.198,0.95
2153,0.203,0.61
2154,0.188,0.78
2155,0.206,0.44
2156,0.235,0.71
2157,0.228,2.5
2158,0.25,1.33
2159,0.249,1.33
2160,0.216,1.36
2161,0.255,1.25
2162,0.225,0.75
2163,0.168,0.68
2164,0.176,0.96
2165,0.223,1.04
2166,0.234,1.08
2167,0.216,1.45
2168,0.19,0.91
2169,0.131,0.17
2170,0.162,0.17
2171,0.142,0.17
2172,0.097,0.33
2173,0.176,2.5
2174,0.199,2.5
2175,0.271,10
2176,0.171,4
2177,0.217,0.5
2178,0.219,0.83
2179,0.21,0.67
2180,0.208,0.17
2181,0.204,1.75
2182,0.207,2
2183,0.348,0.67
2184,0.219,3
2185,0.242,1.14
2186,0.242,1.19
2187,0.243,1.27
2188,0.198,0.54
2189,0.247,1.23
2190,0.251,1
2191,0.246,0.92
2192,0.249,0.78
2193,0.271,0.78
2194,0.258,1.46
2195,0.261,0.93
2196,0.21,0.64
2197,0.265,1.12
2198,0.225,1.09
2199,0.215,1.25
2200,0.242,0.81
2201,0.253,1.75
2202,0.245,1.13
2203,0.218,1.82
2204,0.23,1
2205,0.198,0.59
2206,0.15,0.59
2207,0.172,0.95
2208,0.188,0.81
2209,0.187,0.71
2210,0.165,0.29
2211,0.173,1
2212,0.131,0.33
2213,0.195,3
2214,0.173,3.67
2215,0.134,0.6
2216,0.214,1
2217,0.22,0.83
2218,0.261,1.56
2219,0.233,0.9
2220,0.292,0.88
2221,0.314,1
2222,0.217,1.1
2223,0.191,0.75
2224,0.231,1.14
2225,0.211,1.46
2226,0.237,1.08
2227,0.245,1.24
2228,0.224,1.91
2229,0.224,0.78
2230,0.15,0.94
2231,0.169,0.64
2232,0.206,0.56
2233,0.231,0.67
2234,0.209,1
2235,0.103,0.17
2236,0.256,0.43
2237,0.144,0.5
2238,0.221,8
2239,0.152,1.2
2240,0.274,2.25
2241,0.217,0.83
2242,0.274,1.13
2243,0.249,1.36
2244,0.204,2
2245,0.249,0.69
2246,0.172,0.42
2247,0.217,1.19
2248,0.203,0.93
2249,0.202,1.4
2250,0.211,2
2251,0.179,1.29
2252,0.144,0.33
2253,0.148,0.38
2254,0.137,0.62
2255,0.159,0.56
2256,0.202,1.83
2257,0.282,0.89
2258,0.244,1.05
2259,0.231,1.18
2260,0.199,0.6
2261,0.261,1.32
2262,0.208,1.05
2263,0.215,0.7
2264,0.25,1.38
2265,0.241,1.04
2266,0.247,1.42
2267,0.214,0.84
2268,0.171,0.9
2269,0.281,1.33
2270,0.191,1
2271,0.187,0.58
2272,0.195,0.95
2273,0.158,0.59
2274,0.299,1.47
2275,0.187,0.83
2276,0.277,1.67
2277,0.195,0.97
2278,0.215,0.54
2279,0.182,0.76
2280,0.266,1.31
2281,0.195,0.5
2282,0.271,0.86
2283,0.143,0.14
2284,0.185,0.86
2285,0.196,3.67
2286,0.209,1
2287,0.177,1.25
2288,0.167,1.5
2289,0.194,0.5
2290,0.304,1.17
2291,0.239,0.68
2292,0.262,1.12
2293,0.181,1.5
2294,0.237,0.76
2295,0.218,1.25
2296,0.238,1.26
2297,0.225,0.73
2298,0.221,0.7
2299,0.228,1.4
2300,0.228,0.48
2301,0.24,1.59
2302,0.167,0.74
2303,0.18,0.71
2304,0.232,2.36
2305,0.277,1.05
2306,0.247,0.52
2307,0.203,0.71
2308,0.175,0.73
2309,0.202,0.94
2310,0.293,1.86
2311,0.228,1.67
2312,0.227,1.05
2313,0.271,1.71
2314,0.201,1.14
2315,0.105,0.33
2316,0.218,0.5
2317,0.296,1
2318,0.231,1.67
2319,0.189,1
2320,0.161,0.67
2321,0.262,0.77
2322,0.23,1.04
2323,0.204,0.7
2324,0.162,0.56
2325,0.212,1.19
2326,0.293,1.89
2327,0.197,1.11
2328,0.244,1.09
2329,0.254,0.94
2330,0.231,1.29
2331,0.262,1.15
2332,0.238,1
2333,0.152,0.71
2334,0.211,1.25
2335,0.216,0.9
2336,0.231,0.9
2337,0.145,0.29
2338,0.192,0.86
2339,0.238,1
2340,0.254,0.71
2341,0.263,3.67
2342,0.116,0.5
2343,0.169,1.2
2344,0.305,1.4
2345,0.209,0.92
2346,0.258,1.16
2347,0.25,0.96
2348,0.293,1.71
2349,0.196,0.92
2350,0.24,1.12
2351,0.204,0.67
2352,0.272,0.7
2353,0.228,1.78
2354,0.19,0.82
2355,0.227,1.19
2356,0.205,0.86
2357,0.193,0.92
2358,0.184,0.52
2359,0.164,0.7
2360,0.27,1.42
2361,0.219,0.69
2362,0.308,1.71
2363,0.252,1.58
2364,0.252,0.81
2365,0.208,1.1
2366,0.176,0.57
2367,0.197,0.93
2368,0.234,0.94
2369,0.173,1.33
2370,0.256,2
2371,0.131,1.75
2372,0.235,0.71
2373,0.148,0.57
2374,0.22,0.75
2375,0.159,0.86
2376,0.244,0.75
2377,0.204,0.87
2378,0.269,1.25
2379,0.232,1.5
2380,0.211,0.95
2381,0.191,0.95
2382,0.233,0.48
2383,0.198,1.04
2384,0.26,1.14
